127.0.0.1 - - [13/Jun/2024:08:30:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:30:45 +0530] "GET /memorys/ HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:30:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:30:50 +0530] "GET /memorys/login.jsp HTTP/1.1" 200 2231
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:30:57 +0530] "POST /memorys/loginhandler.jsp HTTP/1.1" 200 1929
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:30:57 +0530] "GET /memorys/image/keith-misner-h0Vxgz5tyXA-unsplash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:32:44 +0530] "POST /memorys/loginhandler.jsp HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:33:24 +0530] "POST /memorys/loginhandler.jsp HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:36:09 +0530] "POST /memorys/loginhandler.jsp HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:36:14 +0530] "POST /memorys/loginhandler.jsp HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:36:38 +0530] "POST /memorys/loginhandler.jsp HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:36:41 +0530] "GET /memorys/addpost.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:36:48 +0530] "POST /memorys/loginhandler.jsp HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:42:39 +0530] "POST /memorys/loginhandler.jsp HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [13/Jun/2024:08:45:11 +0530] "POST /memorys/loginhandler.jsp HTTP/1.1" 200 2297
